source_id,send_x,send_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,send_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
11, 1, 81, -1, 116, 10300200, 5, 1, 29, 11, 700, 750, 379, 346, 284, 165, 29
11, 1, 81, -1, 151, 10300200, 4, 1, 165, 11, 700, 750, 379, 346, 284, 165, 29
11, 1, 81, 1, 212, 10300200, 2, 1, 346, 11, 700, 750, 379, 346, 284, 165, 29
11, 1, 81, 1, 212, 10300200, 1, 1, 379, 11, 700, 750, 379, 346, 284, 165, 29
11, 1, 81, 1, 219, 10300200, 3, 1, 284, 11, 700, 750, 379, 346, 284, 165, 29
11, 1, 212, 45, 198, 10300761, 4, 1, 216, 379, 700, 750, 64, 56, 32, 216, 174
11, 1, 212, 1, 282, 10300761, 3, 1, 32, 379, 700, 750, 64, 56, 32, 216, 174
11, 1, 212, -1, 319, 10300761, 1, 1, 64, 379, 700, 750, 64, 56, 32, 216, 174
11, -1, 319, -1, 355, 10301322, 5, 1, 174, 64, 700, 750, 43, 191, 348, 282, 174
11, -1, 319, -1, 381, 10301322, 4, 1, 282, 64, 700, 750, 43, 191, 348, 282, 174
11, -1, 319, -1, 387, 10301323, 3, 1, 348, 64, 700, 750, 43, 191, 348, 282, 174
11, -1, 319, 1, 474, 10301323, 1, 1, 43, 64, 700, 750, 43, 191, 348, 282, 174
11, 1, 474, -1, 556, 10301884, 3, 1, 201, 43, 700, 750, 390, 370, 201, 163, 267
11, 1, 474, -1, 587, 10301884, 2, 1, 370, 43, 700, 750, 390, 370, 201, 163, 267
11, 1, 474, -1, 587, 10301884, 1, 1, 390, 43, 700, 750, 390, 370, 201, 163, 267
11, 1, 474, 1, 619, 10301884, 5, 1, 267, 43, 700, 750, 390, 370, 201, 163, 267
11, -1, 587, 19, 598, 10302445, 3, 1, 259, 390, 700, 750, 34, 134, 259, 28, 163
11, -1, 587, 44, 598, 10302445, 2, 1, 134, 390, 700, 750, 34, 134, 259, 28, 163
11, -1, 587, 1, 645, 10302445, 5, 1, 163, 390, 700, 750, 34, 134, 259, 28, 163
11, -1, 587, 1, 682, 10302446, 4, 1, 28, 390, 700, 750, 34, 134, 259, 28, 163
11, 44, 598, 79, 598, 10307006, 1, 1, 34, 134, 700, 750, 34, 103, 107, 189, 210
11, 44, 598, 110, 601, 10307007, 2, 1, 103, 134, 700, 750, 34, 103, 107, 189, 210
11, 79, 598, 110, 601, 10307568, 2, 1, 103, 34, 700, 750, 107, 103, 189, 210, 276
11, 79, 598, 157, 601, 10307568, 3, 1, 189, 34, 700, 750, 107, 103, 189, 210, 276
11, 110, 601, 157, 601, 10311568, 5, 1, 189, 103, 700, 750, 107, 276, 20, 210, 189
11, 110, 601, 273, 598, 10311568, 1, 1, 107, 103, 700, 750, 107, 276, 20, 210, 189
11, 273, 598, 312, 601, 10312129, 2, 1, 20, 107, 700, 750, 162, 20, 182, 154, 96
11, 273, 598, 356, 601, 10312129, 3, 1, 182, 107, 700, 750, 162, 20, 182, 154, 96
11, 273, 598, 447, 598, 10312130, 1, 1, 162, 107, 700, 750, 162, 20, 182, 154, 96
11, 447, 598, 484, 598, 10312691, 2, 1, 96, 162, 700, 750, 273, 96, 128, 173, 16
11, 447, 598, 509, 601, 10312691, 5, 1, 16, 162, 700, 750, 273, 96, 128, 173, 16
11, 447, 598, 553, 601, 10312691, 10000000, 1, 173, 162, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000
11, 45, 198, 83, 198, 10313322, 2, 1, 56, 216, 700, 750, 17, 56, 129, 238, 313
11, 45, 198, 112, 201, 10313322, 1, 1, 17, 216, 700, 750, 17, 56, 129, 238, 313
11, 45, 198, 181, 201, 10313323, 4, 1, 238, 216, 700, 750, 17, 56, 129, 238, 313
11, 112, 201, 201, 212, 10313884, 5, 1, 313, 17, 700, 750, 27, 159, 249, 368, 313
11, 112, 201, 201, 212, 10313884, 4, 1, 368, 17, 700, 750, 27, 159, 249, 368, 313
11, 112, 201, 242, 198, 10313884, 2, 1, 159, 17, 700, 750, 27, 159, 249, 368, 313
11, 112, 201, 278, 198, 10313884, 1, 1, 27, 17, 700, 750, 27, 159, 249, 368, 313
11, 278, 198, 356, 201, 10314445, 3, 1, 197, 27, 700, 750, 310, 314, 197, 241, 117
11, 278, 198, 379, 201, 10314445, 4, 1, 241, 27, 700, 750, 310, 314, 197, 241, 117
11, 278, 198, 387, 201, 10314445, 1, 1, 310, 27, 700, 750, 310, 314, 197, 241, 117
11, 278, 198, 412, 198, 10314445, 2, 1, 314, 27, 700, 750, 310, 314, 197, 241, 117
11, 387, 201, 401, 245, 10315006, 3, 1, 118, 310, 700, 750, 41, 88, 118, 49, 117
11, 387, 201, 449, 198, 10315006, 5, 1, 117, 310, 700, 750, 41, 88, 118, 49, 117
11, 387, 201, 401, 288, 10315007, 1, 1, 41, 310, 700, 750, 41, 88, 118, 49, 117
11, 387, 201, 495, 198, 10315007, 2, 1, 88, 310, 700, 750, 41, 88, 118, 49, 117
11, 387, 201, 513, 201, 10315007, 4, 1, 49, 310, 700, 750, 41, 88, 118, 49, 117
