source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
8, 78, -1, 10299999, 1, 243, 7, 285, 144, 212, 1, 0.701468, 0.758749, 0.64527, 0.549262, 225, 0, 0, 1, 0, 1, 1
144, 157, 1, 10300200, 2, 98, 7, 117, 164, 212, 0.972263, 1, 0.970241, 1, 1, 225, 0, 0, 0, 0, 0, 0
243, 219, -1, 10300200, 2, 7, 98, 117, 164, 62, 1, 0.864234, 0.970241, 1, 0.723318, 225, 0, 0, 0, 0, 0, 1
164, 248, -1, 10300640, 3, 275, 152, 7, 143, 62, 0.537655, 0.120923, 1, 0.686459, 0.72328, 225, 1, 1, 0, 0, 0, 0
7, 280, -1, 10300640, 3, 275, 5, 143, 152, 150, 0.645186, 0, 0.823751, 0.645346, 0.611712, 225, 1, 1, 0, 1, 0, 1
62, 319, 1, 10300640, 3, 5, 231, 150, 275, 152, 1, 1, 0.96816, 1, 0.860461, 225, 0, 0, 0, 1, 0, 0
143, 354, 1, 10301080, 4, 181, 275, 152, 5, 48, 0.121021, 1, 1, 1, 0.861555, 225, 1, 1, 0, 0, 0, 0
275, 401, 12, 10301081, 4, 100, 48, 152, 5, 280, 0.939196, 1, 1, 0.968784, 0.538984, 225, 0, 0, 0, 0, 1, 1
152, 401, 41, 10301534, 5, 237, 48, 280, 100, 132, 0.844495, 1, 0.603047, 0.539137, 0.430741, 225, 0, 0, 1, 0, 0, 0
48, 401, 79, 10301534, 5, 280, 237, 100, 132, 41, 1, 0.94879, 0.86262, 0.646112, 0.362661, 225, 1, 1, 0, 0, 0, 0
100, 398, 114, 10301534, 5, 41, 292, 268, 280, 237, 0.969323, 1, 1, 1, 1, 225, 0, 1, 1, 1, 0, 1
280, 398, 187, 10301534, 5, 41, 112, 88, 221, 111, 1, 1, 0.863125, 1, 0.603353, 225, 0, 0, 0, 0, 0, 0
237, 398, 180, 10301857, 6, 41, 88, 112, 221, 292, 1, 0.863095, 0.971251, 1, 1, 225, 0, 0, 0, 0, 1, 0
280, 398, 187, 10301857, 6, 41, 112, 88, 221, 111, 1, 1, 0.863095, 1, 0.603329, 225, 0, 0, 0, 0, 0, 1
221, 418, 198, 10314057, 7, 266, 88, 41, 112, 216, 0.647251, 1, 0.86046, 1, 0.550038, 225, 1, 0, 0, 0, 1, 0
112, 449, 198, 10314057, 7, 266, 216, 88, 116, 49, 0.634179, 0.550038, 1, 0.725341, 0.795991, 225, 1, 1, 0, 0, 0, 1
41, 401, 287, 10314057, 7, 198, 255, 201, 111, 256, 1, 0.931221, 0.753004, 0.823464, 0.604037, 225, 0, 1, 0, 0, 1, 1
111, 398, 347, 10314381, 8, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 225, 0, 0, 1, 1, 0, 0
201, 398, 375, 10314381, 8, 104, 198, 255, 160, 24, 1, 1, 1, 0.860331, 0.751648, 225, 0, 0, 1, 0, 0, 0
256, 398, 387, 10314381, 8, 104, 24, 160, 198, 255, 1, 0.966405, 0.967873, 1, 1, 225, 0, 0, 0, 0, 1, 0
255, 401, 416, 10314381, 8, 24, 104, 160, 198, 79, 0.966405, 1, 0.967873, 1, 0.214727, 225, 0, 0, 0, 0, 1, 0
198, 401, 431, 10314381, 8, 104, 24, 160, 148, 79, 1, 0.751648, 0.860331, 0.319023, 0.120303, 225, 0, 0, 0, 1, 1, 1
104, 401, 467, 10314821, 9, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 225, 1, 1, 1, 1, 1, 0
148, 401, 637, 10314822, 9, 96, 156, 79, 108, 31, 0.861657, 0.96753, 1, 0.688229, 0.159197, 225, 0, 0, 0, 0, 0, 1
88, 495, 198, 10318257, 8, 266, 102, 216, 131, 116, 0.962157, 0.120776, 0.962011, 0.700605, 0.75368, 225, 1, 1, 0, 0, 0, 1
49, 513, 201, 10318258, 8, 102, 131, 266, 216, 116, 0.970757, 1, 1, 1, 0.969017, 225, 0, 0, 1, 0, 0, 0
116, 553, 201, 10318258, 8, 190, 75, 266, 214, 194, 0.120873, 0.120534, 1, 0.189699, 0.188551, 225, 1, 1, 1, 1, 1, 0
116, 553, 201, 10326458, 9, 190, 75, 266, 214, 194, 0.120753, 0.120415, 1, 0.189405, 0.18826, 225, 1, 1, 1, 1, 1, 0
216, 581, 201, 10326458, 9, 266, 209, 270, 194, 86, 1, 0.136766, 0.159086, 0.137414, 0.927423, 225, 1, 1, 1, 1, 0, 0
266, 587, 201, 10326458, 9, 47, 209, 295, 249, 194, 0.927656, 0.302522, 0.18915, 0.301237, 0.274828, 225, 0, 1, 1, 1, 1, 1
102, 677, 198, 10326458, 9, 295, 270, 274, 227, 120, 0.602783, 0.477258, 0.466631, 0.323091, 0.241604, 225, 1, 1, 1, 1, 1, 0
47, 598, 316, 10326872, 10, 21, 85, 187, 138, 114, 0.968052, 0.771527, 1, 0.752808, 0.536378, 225, 0, 0, 0, 0, 1, 1
79, 401, 680, 10327022, 10, 108, 96, 156, 31, 10000000, 0.966614, 0.645394, 0.644175, 0.317776, 0, 225, 0, 0, 1, 0, 1, 1
108, 398, 728, 10327022, 10, 82, 31, 10000000, 10000000, 10000000, 0.644513, 1, 0, 0, 0, 225, 0, 0, 1, 1, 1, 0
