source_id,send_x,send_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,send_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
116, 159, 201, 181, 201, 10300200, 4, 1, 174, 116, 700, 750, 27, 119, 23, 174, 141, 0
116, 159, 201, 201, 245, 10300200, 2, 1, 119, 116, 700, 750, 27, 119, 23, 174, 141, 0
116, 159, 201, 284, 198, 10300200, 1, 1, 27, 116, 700, 750, 27, 119, 23, 174, 141, 0
116, 284, 198, 357, 201, 10300541, 2, 1, 141, 27, 700, 750, 88, 141, 180, 194, 177, 0
116, 284, 198, 379, 201, 10300541, 5, 1, 177, 27, 700, 750, 88, 141, 180, 194, 177, 0
116, 284, 198, 418, 198, 10300541, 3, 1, 180, 27, 700, 750, 88, 141, 180, 194, 177, 0
116, 201, 245, 198, 351, 10304541, 4, 1, 137, 119, 700, 750, 189, 195, 149, 137, 165, 0
116, 201, 245, 198, 379, 10304541, 5, 1, 165, 119, 700, 750, 189, 195, 149, 137, 165, 0
116, 201, 245, 198, 387, 10304541, 1, 1, 189, 119, 700, 750, 189, 195, 149, 137, 165, 0
116, 357, 201, 387, 201, 10304882, 4, 1, 194, 141, 700, 750, 180, 88, 41, 194, 105, 0
116, 198, 387, 201, 418, 10304882, 5, 1, 186, 189, 700, 750, 45, 135, 65, 149, 186, 0
116, 198, 387, 247, 398, 10304882, 2, 1, 135, 189, 700, 750, 45, 135, 65, 149, 186, 0
116, 357, 201, 418, 198, 10304882, 1, 1, 180, 141, 700, 750, 180, 88, 41, 194, 105, 0
116, 198, 387, 201, 446, 10304882, 4, 1, 149, 189, 700, 750, 45, 135, 65, 149, 186, 0
116, 357, 201, 448, 198, 10304882, 5, 1, 105, 141, 700, 750, 180, 88, 41, 194, 105, 0
116, 198, 387, 201, 485, 10304883, 3, 1, 65, 189, 700, 750, 45, 135, 65, 149, 186, 0
116, 357, 201, 495, 198, 10304883, 2, 1, 88, 141, 700, 750, 180, 88, 41, 194, 105, 0
116, 418, 198, 495, 198, 10305224, 4, 1, 88, 180, 700, 750, 196, 124, 41, 88, 175, 0
116, 247, 398, 283, 398, 10309223, 2, 1, 45, 135, 700, 750, 18, 45, 65, 10000000, 10000000, 0
116, 247, 398, 314, 401, 10309224, 1, 1, 18, 135, 700, 750, 18, 45, 65, 10000000, 10000000, 0
