source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,
70, 212, 91, 262, 20001096, 3, 1, 12, 1, 9, 
70, 212, 100, 262, 20001096, 4, 1, 2, 1, 9, 
70, 212, 0, 300, 20001096, 1, 1, 10, 1, 9, 
70, 212, 130, 362, 20001096, 0, 1, 3, 1, 9, 
70, 212, 100, 462, 20001096, 2, 1, 5, 1, 9, 
130, 362, 130, 412, 20003216, 2, 2, 4, 3, 9, 
130, 362, 100, 462, 20003216, 1, 2, 5, 3, 9, 
130, 362, 70, 512, 20003216, 0, 2, 6, 3, 9, 
130, 362, 300, 500, 20003216, 3, 2, 20, 3, 9, 
70, 512, 100, 612, 20004503, 0, 3, 7, 6, 9, 
100, 612, 130, 662, 20006169, 1, 4, 8, 7, 9, 
100, 612, 100, 771, 20006169, destination, 4, 9, 7, 9, 
300, 500, 300, 600, 20016313, 2, 3, 17, 20, 9, 
300, 500, 300, 700, 20016313, 1, 3, 16, 20, 9, 
300, 500, 100, 462, 20016313, 3, 3, 5, 20, 9, 
300, 700, 130, 662, 20021410, 1, 4, 8, 16, 9, 
300, 700, 100, 612, 20021410, 2, 4, 7, 16, 9, 
100, 462, 70, 512, 20029409, 2, 4, 6, 5, 9, 
100, 462, 100, 612, 20029410, 1, 4, 7, 5, 9, 
100, 462, 130, 662, 20029410, 0, 4, 8, 5, 9, 
100, 462, 300, 600, 20029410, 3, 4, 17, 5, 9, 
100, 612, 130, 662, 20031862, 1, 5, 8, 7, 9, 
